CC: 0, Register: x0, Value: 0
CC: 1, Register: xx, Value: 0
CC: 2, Register: x5, Value: 5
CC: 3, Register: x6, Value: -5
CC: 4, Register: x7, Value: -2
CC: 5, Register: x28, Value: 0
CC: 6, Register: x29, Value: -3
CC: 7, Register: x5, Value: 160
CC: 8, Register: x31, Value: 7
CC: 9, Register: x30, Value: -3
CC: 10, Register: x29, Value: -2
CC: 11, Register: x28, Value: 5
CC: 12, Register: x7, Value: 5
CC: 13, Register: x30, Value: 0
CC: 14, Register: x30, Value: 0
CC: 15, Register: x0, Value: 0
CC: 16, Register: xx, Value: 0
CC: 17, Register: xx, Value: 0
CC: 18, Register: xx, Value: 0
CC: 19, Register: xx, Value: 0
CC: 20, Register: xx, Value: 0
CC: 21, Register: xx, Value: 0
CC: 22, Register: xx, Value: 0
CC: 23, Register: xx, Value: 0
CC: 24, Register: xx, Value: 0
CC: 25, Register: xx, Value: 0
CC: 26, Register: xx, Value: 0
CC: 27, Register: xx, Value: 0
CC: 28, Register: xx, Value: 0
CC: 29, Register: xx, Value: 0
CC: 30, Register: xx, Value: 0
CC: 31, Register: xx, Value: 0
CC: 32, Register: xx, Value: 0
CC: 33, Register: xx, Value: 0
CC: 34, Register: xx, Value: 0
CC: 35, Register: xx, Value: 0
CC: 36, Register: xx, Value: 0
CC: 37, Register: xx, Value: 0
CC: 38, Register: xx, Value: 0
CC: 39, Register: xx, Value: 0
CC: 40, Register: xx, Value: 0
CC: 41, Register: xx, Value: 0
CC: 42, Register: xx, Value: 0
CC: 43, Register: xx, Value: 0
CC: 44, Register: xx, Value: 0
CC: 45, Register: xx, Value: 0
CC: 46, Register: xx, Value: 0
CC: 47, Register: xx, Value: 0
CC: 48, Register: xx, Value: 0
