CC: 0, Register: x0, Value: 0
CC: 1, Register: xx, Value: 0
CC: 2, Register: x29, Value: 256
CC: 3, Register: x29, Value: 268435456
CC: 4, Register: x28, Value: 256
CC: 5, Register: x28, Value: 65536
CC: 6, Register: x29, Value: 268500992
CC: 7, Register: x5, Value: -1
CC: 8, Register: x0, Value: 268500992
CC: 9, Register: x5, Value: 7
CC: 10, Register: x4, Value: 268500996
CC: 11, Register: x5, Value: -5
CC: 12, Register: x8, Value: 268501000
CC: 13, Register: x5, Value: 268500992
CC: 14, Register: x6, Value: 268500996
CC: 15, Register: x7, Value: 268501000
CC: 16, Register: x28, Value: -5
CC: 17, Register: x28, Value: -1
CC: 18, Register: x30, Value: 90
CC: 19, Register: x30, Value: 23040
CC: 20, Register: x30, Value: 23055
CC: 21, Register: x30, Value: 5902080
CC: 22, Register: x30, Value: 5902245
CC: 23, Register: x30, Value: 1510974720
CC: 24, Register: x30, Value: 1510974960
CC: 25, Register: x28, Value: -1510974961
CC: 26, Register: x12, Value: 268501004
CC: 27, Register: x29, Value: 268501004
CC: 28, Register: x5, Value: 268501007
CC: 29, Register: x1, Value: 268501005
CC: 30, Register: x5, Value: 268501004
CC: 31, Register: x2, Value: 268501006
CC: 32, Register: x5, Value: 268501006
CC: 33, Register: x4, Value: 268501008
CC: 34, Register: x5, Value: 268501004
CC: 35, Register: x6, Value: 268501010
CC: 36, Register: x0, Value: 268501010
CC: 37, Register: xx, Value: 268501010
CC: 38, Register: xx, Value: 268501010
CC: 39, Register: xx, Value: 268501010
CC: 40, Register: xx, Value: 268501010
CC: 41, Register: xx, Value: 268501010
CC: 42, Register: xx, Value: 268501010
CC: 43, Register: xx, Value: 268501010
CC: 44, Register: xx, Value: 268501010
CC: 45, Register: xx, Value: 268501010
CC: 46, Register: xx, Value: 268501010
CC: 47, Register: xx, Value: 268501010
CC: 48, Register: xx, Value: 268501010
